    0.9140946647     2.9024515412     1.1228851432
    0.9150946647     2.9006537838     1.1239557982
    0.9160946648     2.8988570495     1.1250304059
    0.9170946648     2.8970613436     1.1261089604
    0.9180946649     2.8952666715     1.1271914557
    0.9190946649     2.8934730382     1.1282778860
    0.9200946650     2.8916804488     1.1293682454
    0.9210946650     2.8898889082     1.1304625279
    0.9220946651     2.8880984212     1.1315607279
    0.9230946651     2.8863089928     1.1326628393
    0.9240946652     2.8845206276     1.1337688563
    0.9250946652     2.8827333302     1.1348787733
    0.9260946652     2.8809471051     1.1359925843
    0.9270946653     2.8791619569     1.1371102836
    0.9280946653     2.8773778898     1.1382318654
    0.9290946654     2.8755949082     1.1393573240
    0.9300946654     2.8738130164     1.1404866537
    0.9310946655     2.8720322183     1.1416198487
    0.9320946655     2.8702525181     1.1427569033
    0.9330946656     2.8684739197     1.1438978119
    0.9340946656     2.8666964271     1.1450425687
    0.9350946657     2.8649200439     1.1461911683
    0.9360946657     2.8631447740     1.1473436048
    0.9370946658     2.8613706210     1.1484998728
    0.9380946658     2.8595975885     1.1496599667
    0.9390946659     2.8578256799     1.1508238808
    0.9400946659     2.8560548987     1.1519916096
    0.9410946660     2.8542852481     1.1531631476
    0.9420946660     2.8525167315     1.1543384893
    0.9430946661     2.8507493520     1.1555176292
    0.9440946661     2.8489831127     1.1567005619
    0.9450946661     2.8472180167     1.1578872818
    0.9460946662     2.8454540669     1.1590777835
    0.9470946662     2.8436912661     1.1602720617
    0.9480946663     2.8419296171     1.1614701110
    0.9490946663     2.8401691228     1.1626719259
    0.9500946664     2.8384097856     1.1638775012
    0.9510946664     2.8366516082     1.1650868315
    0.9520946665     2.8348945931     1.1662999116
    0.9530946665     2.8331387427     1.1675167361
    0.9540946666     2.8313840594     1.1687372999
    0.9550946666     2.8296305454     1.1699615976
    0.9560946667     2.8278782029     1.1711896240
    0.9570946667     2.8261270341     1.1724213741
    0.9580946668     2.8243770410     1.1736568425
    0.9590946668     2.8226282255     1.1748960243
    0.9600946669     2.8208805897     1.1761389143
    0.9610946669     2.8191341354     1.1773855073
    0.9620946670     2.8173888643     1.1786357983
    0.9630946670     2.8156447782     1.1798897824
    0.9640946671     2.8139018786     1.1811474544
    0.9650946671     2.8121601672     1.1824088094
    0.9660946671     2.8104196454     1.1836738424
    0.9670946672     2.8086803146     1.1849425485
    0.9680946672     2.8069421763     1.1862149227
    0.9690946673     2.8052052317     1.1874909603
    0.9700946673     2.8034694820     1.1887706563
    0.9710946674     2.8017349284     1.1900540058
    0.9720946674     2.8000015720     1.1913410042
    0.9730946675     2.7982694138     1.1926316465
    0.9740946675     2.7965384548     1.1939259281
    0.9750946676     2.7948086957     1.1952238442
    0.9760946676     2.7930801376     1.1965253902
    0.9770946677     2.7913527811     1.1978305613
    0.9780946677     2.7896266269     1.1991393529
    0.9790946678     2.7879016757     1.2004517604
    0.9800946678     2.7861779280     1.2017677793
    0.9810946679     2.7844553844     1.2030874048
    0.9820946679     2.7827340452     1.2044106327
    0.9830946680     2.7810139108     1.2057374582
    0.9840946680     2.7792949817     1.2070678770
    0.9850946680     2.7775772579     1.2084018845
    0.9860946681     2.7758607397     1.2097394765
    0.9870946681     2.7741454273     1.2110806485
    0.9880946682     2.7724313206     1.2124253962
    0.9890946682     2.7707184198     1.2137737152
    0.9900946683     2.7690067247     1.2151256012
    0.9910946683     2.7672962353     1.2164810500
    0.9920946684     2.7655869513     1.2178400574
    0.9930946684     2.7638788726     1.2192026191
    0.9940946685     2.7621719988     1.2205687309
    0.9950946685     2.7604663296     1.2219383889
    0.9960946686     2.7587618646     1.2233115887
    0.9970946686     2.7570586033     1.2246883264
    0.9980946687     2.7553565452     1.2260685979
    0.9990946687     2.7536556897     1.2274523992
    1.0000946688     2.7519560362     1.2288397262
    1.0010946688     2.7502575839     1.2302305752
    1.0020946689     2.7485603322     1.2316249421
    1.0030946689     2.7468642803     1.2330228231
    1.0040946690     2.7451694271     1.2344242142
    1.0050946690     2.7434757719     1.2358291118
    1.0060946690     2.7417833137     1.2372375120
    1.0070946691     2.7400920514     1.2386494110
    1.0080946691     2.7384019840     1.2400648051
    1.0090946692     2.7367131103     1.2414836908
    1.0100946692     2.7350254291     1.2429060642
    1.0110946693     2.7333389393     1.2443319218
    1.0120946693     2.7316536394     1.2457612600
    1.0130946694     2.7299695281     1.2471940752
    1.0140946694     2.7282866041     1.2486303640
    1.0150946695     2.7266048659     1.2500701229
    1.0160946695     2.7249243119     1.2515133484
    1.0170946696     2.7232449407     1.2529600371
    1.0180946696     2.7215667506     1.2544101856
    1.0190946697     2.7198897400     1.2558637906
    1.0200946697     2.7182139071     1.2573208489
    1.0210946698     2.7165392502     1.2587813570
    1.0220946698     2.7148657675     1.2602453119
    1.0230946699     2.7131934571     1.2617127103
    1.0240946699     2.7115223172     1.2631835490
    1.0250946699     2.7098523457     1.2646578249
    1.0260946700     2.7081835406     1.2661355350
    1.0270946700     2.7065159000     1.2676166761
    1.0280946701     2.7048494216     1.2691012454
    1.0290946701     2.7031841034     1.2705892397
    1.0300946702     2.7015199431     1.2720806563
    1.0310946702     2.6998569386     1.2735754921
    1.0320946703     2.6981950874     1.2750737443
    1.0330946703     2.6965343873     1.2765754100
    1.0340946704     2.6948748360     1.2780804866
    1.0350946704     2.6932164308     1.2795889713
    1.0360946705     2.6915591695     1.2811008612
    1.0370946705     2.6899030494     1.2826161539
    1.0380946706     2.6882480680     1.2841348466
    1.0390946706     2.6865942226     1.2856569367
    1.0400946707     2.6849415107     1.2871824217
